site,type,country,bu,id,kind,holder,location,area,detail,engineno,registerdate,capacity
cmic,excavator,cambodia,cmic,CMIC-Eco1,Volvo,Ecocycle,Eco-Cycle,C&M,"Volvo, EW160C",,,3T
cmic,excavator,cambodia,cmic,CMIC-Eco2,Volvo,Ecocycle,Eco-Cycle,C&M,"Volvo, EW145B",,,3T
cmic,crane,cambodia,cmic,CMIC-MC-Main55T,Mobile Crane,Internal Cran,,CMIC,"ZOOMLION, ZLJ5420JQZ55D, 245kw",WP10.336,15/01/2025,55Tons
cmic,crane,cambodia,cmic,CMIC-MC-Main8T,Mobile Crane,Internal Cran,,CMIC,FUSO,,15/01/2025,8Tons
cmic,crane,cambodia,cmic,CMIC-MC-Q5T,Mobile Crane,Internal Cran,,CMIC,"FUSO, URV553",E5U0927,15/01/2025,5Tons
cmic,loader,cambodia,cmic,CMIC-WLEco1,Wheel Loader,Ecocycle,Eco-Cycle,,"Doosan, SD200, 92Kw",WL01,2022-04-30T17:00:00.000Z,1.8 m3
cmic,loader,cambodia,cmic,CMIC-WLPro4,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL04,2016-09-30T17:00:00.000Z,3.2m3
cmic,loader,cambodia,cmic,CMIC-WLPro6,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL04,2021-09-30T17:00:00.000Z,3.2m3
cmic,loader,cambodia,cmic,CMIC-WLEco3,Wheel Loader,Ecocycle,Eco-Cycle,,"Doosan, SD200, 92Kw",WL03,15/06/2022,1.8 m3
cmic,loader,cambodia,cmic,CMIC-WLQ1,Wheel Loader,Quarry,Quarry,,"CAT, 986H, 305KW (409HP)",WL#1,,5.1 m3
cmic,loader,cambodia,cmic,CMIC-WLPro2,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL02,2017-09-30T17:00:00.000Z,3.2m3
cmic,loader,cambodia,cmic,CMIC-WLEco2,Wheel Loader,Ecocycle,Eco-Cycle,,"Doosan, SD200, 92Kw",WL02,2022-04-30T17:00:00.000Z,1.8 m3
cmic,loader,cambodia,cmic,CMIC-WLPro1,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL01,2017-09-30T17:00:00.000Z,3.2m3
cmic,loader,cambodia,cmic,CMIC-WLPro3,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL03,2019-09-30T17:00:00.000Z,3.2m3
cmic,loader,cambodia,cmic,CMIC-WLPro5,Wheel Loader,Production,Outdoor Storage,,"Doosan, SD300, 156KW",WL04,2016-09-30T17:00:00.000Z,3.2m3
cmic,forklift,cambodia,cmic,CMIC-Pro01,CMIC 3.5T,CMIC,,,TCM FD30T3S,2Y530620,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-DSV-PP01,DSV-PP01 3.5T,DSV-PP01,,,TCM FDM35PT,CH14J-85001,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-Main01,CMIC 3.5T,CMIC,,,TCM FD30T3S,2Y530625,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-DSV01,DSV01 5T,DSV01,,,TCM FD50T9,43H33195,15/01/2025,5T
cmic,forklift,cambodia,cmic,CMIC-Q01,CAT 3.5T,CAT,,,TCM FD30T3S,N/A,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-DSV02,DSV02 5T,DSV02,,,TCM FD50T9,43H33196,15/01/2025,5T
cmic,forklift,cambodia,cmic,CMIC-DSV-PP02,DSV-PP02 3.5T,DSV-PP02,,,TCM FDM35PT,CH14J-85002,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-WSPP04,CMIC 3.5T,CMIC,,,TCM FD30T3S,2Y530626,15/01/2025,3.5T
cmic,forklift,cambodia,cmic,CMIC-PP03,CMIC 5T,CMIC,,,TCM FD50T9,43H31669,15/01/2025,5T
cmic,dump,cambodia,cmic,CMIC-3E-4264,Dump truck,Internal raw material,,,HYUNDAI,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-PP-2391,Dump truck,Internal raw material,,,HYUNDAI,N/A,19/04/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3F-6507,Dump truck,Internal raw material,,,DEAWO,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3D-9724,Dump truck,Internal raw material,,,SCANA,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3E-8521,Dump truck,Internal raw material,,,HOWO,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3F-5103,Dump truck,Internal raw material,,,HYUNDAI,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3A-2536,Dump truck,Internal raw material,,,HYUNDAI,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3E-8526,Dump truck,Internal raw material,,,HOWO,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3A-2534,Dump truck,Internal raw material,,,HINO,N/A,15/01/2025,N/A
cmic,dump,cambodia,cmic,CMIC-3G-3248,Dump truck,Internal raw material,,,HYUNDAI,N/A,15/01/2025,N/A
cmic,vehicle,cambodia,cmic,CMIC-2BD-9335,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BD-6871,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BJ-1371,SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-2154,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BY-6521,SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2B-4492,SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-2184,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BE-0740,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-6019,Mini SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-3E-7381,BUS,,PHN & TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-3A-2093,BUS,,PHN & TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BR-9752,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BP-9426,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BJ-4184,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BK-9220,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5929,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1029,Mini SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1027,Mini SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1023,Mini SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1022,Mini SUV,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-0281,Pick Up,,TMP,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-2164,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1013,Mini SUV,,Ecocycle PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1014,Mini SUV,,Ecocycle PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1015,Mini SUV,,Ecocycle PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BR-2092,Mini SUV,,Ecocycle PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BT-3280,Mini SUV,,Ecocycle PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BP-6077,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-2194,Pick Up,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-6735,Pick Up,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-2174,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BJ-1361,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1028,Mini SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2AI-4424,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BJ-1362,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BH-1050,Mini SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BJ-1379,SUV,,PHN,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1176,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1175,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3029,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3028,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3047,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3045,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3046,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1056,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3025,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1058,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1059,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1061,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1062,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1063,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1044,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1045,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1046,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1048,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1049,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1039,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1040,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1042,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1043,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1036,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1037,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1038,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1031,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1032,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1034,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1035,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1030,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1021,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-3792,Pick Up,,Sales (Industrail ),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1055,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1054,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3026,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-3027,Pick Up,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1057,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1041,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1050,Mini SUV,,Commercial,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5312,Pick Up,,Marketing,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5213,Pick Up,,Marketing,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5743,Pick Up,,Marketing,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2B0-8535,Pick Up,,Marketing,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5741,Pick Up,,Marketing,,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5764,Pick Up,,Marketing (PAA),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5664,Pick Up,,Marketing (PAA),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5754,Pick Up,,Marketing (PAA),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-5714,Pick Up,,Marketing (PAA),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BW-1051,Mini SUV,,Marketing (PAA),,,,,
cmic,vehicle,cambodia,cmic,CMIC-2BX-3873,Pick Up,,Marketing (PAA),,,,,
cmic,bulk,cambodia,cmic,CMIC-3E-6474,Bulk Truck,APSOR,,,"HYUNDAI, 340 Horsepower",D6AB2064931,15/01/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3G-7277,Bulk Truck,KATTY,,,", 300HP Horsepower",N/A,15/01/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3E-7630,Bulk Truck,MH INFINITY,,,"HYUNDAI, 340HP Horsepower",N/A,15/01/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3H-0366,Bulk Truck,MH INFINITY,,,"HYUNDAI, 320HP Horsepower",N/A,20/04/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3E-7880,Bulk Truck,APSOR,,,"DAEWOO, 365 Horsepower",DV15T900135CB,15/01/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3AD-3909,Bulk Truck,KATTY,,,"ISUZU, 270HP Horsepower",6HK1434856,15/01/2025,40T
cmic,bulk,cambodia,cmic,CMIC-3D-8939,Bulk Truck,KATTY,,,"HYUNDAI, 340HP Horsepower",N/A,15/01/2025,40T
