site,type,country,bu,id,kind,owner,place,holder,registerDate,status
cmic,extinguisher,cambodia,cmic,CMIC-CCR-02,ABC Powder,CCR Building,First Floor ,CCR Building,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CCR-19,CO₂,CCR Building,First Floor ,CCR Building,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WHR-03,ABC Powder,WHR,Turbine and Generator Buildng,WHR,,Active
cmic,extinguisher,cambodia,cmic,CMIC-WHR-22,CO₂,WHR,Diesel Generator,WHR,,Active
cmic,extinguisher,cambodia,cmic,CMIC-PK-10,ABC Powder,Packing Plant,"Empty Bag Area, Groundfloor",Packing Plant,,Active
cmic,extinguisher,cambodia,cmic,CMIC-PK-24,ABC Powder,Packing Plant,"Packer Area, First Floor",Packing Plant,,Active
cmic,extinguisher,cambodia,cmic,CMIC-PK-34,ABC Powder,Packing Plant,"Packer Area, First Floor",Packing Plant,,Active
cmic,extinguisher,cambodia,cmic,CMIC-PK-35,ABC Powder,Packing Plant,"Packer Area, First Floor",Packing Plant,,Active
cmic,extinguisher,cambodia,cmic,CMIC-RM-01,ABC Powder,Raw Mill,Raw Mill,Raw Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-RM-02,ABC Powder,Raw Mill,Raw Mill,Raw Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-RM-10,ABC Powder,Raw Mill,Reclaimer,Raw Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-KN-05,ABC Powder,Kiln,"Pfister Calciner (451-PF1),",Kiln,,Active
cmic,extinguisher,cambodia,cmic,CMIC-KN-07,ABC Powder,Kiln,"Pfister Calciner (451-PF1),",Kiln,,Active
cmic,extinguisher,cambodia,cmic,CMIC-KN-19,ABC Powder,Kiln,Cooler Hydraulic,Kiln,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CR-07,ABC Powder,Crusher,291-BC1,Crusher,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-03,ABC Powder,Cement Mill,511-BCB (Drive Pulley),Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-08,ABC Powder,Cement Mill,511-BC1 (Drive Pulley),Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-10,ABC Powder,Cement Mill,511-BC2,Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-15,ABC Powder,Cement Mill,561-BC1,Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-22,CO₂,Cement Mill,Cement Mill Isolation Board,Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CM-31,ABC Powder,Cement Mill,531-WF3,Cement Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-02,ABC Powder,Coal Mill,Belt Conveyor L11-BC1,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-03,ABC Powder,Coal Mill,Belt Conveyor L11-BC1,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-15,ABC Powder,Coal Mill,Coal Crusher L11-RC1,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-29,ABC Powder,Coal Mill,Coal Storage,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-39,ABC Powder,Coal Mill,Coal Storage,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-49,ABC Powder,Coal Mill,Coal Storage,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoS-54,ABC Powder,Coal Mill,Coal Storage,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoM-66,ABC Powder,Coal Mill,Belt Conveyor L21-BC2,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoM-75,ABC Powder,Coal Mill,Belt Conveyor L21-BC3,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoM-76,ABC Powder,Coal Mill,Belt Conveyor L21-BC3,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoM-77,ABC Powder,Coal Mill,Raw Coal Bin L21-2B1,Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-CoM-88,ABC Powder,Coal Mill,"Screw Conveyor L61-SC1,2,3&4",Coal Mill,,Active
cmic,extinguisher,cambodia,cmic,CMIC-AC-04,CO₂,Air Compressor Room,Air Compressor Clinker,Air Compressor Room,,Active
cmic,extinguisher,cambodia,cmic,CMIC-MN-03,ABC Powder,Maintenance Workshop,Maintenance Workshop,Maintenance Workshop,,Active
cmic,extinguisher,cambodia,cmic,CMIC-MN-09,ABC Powder,Maintenance Workshop,Maintenance Workshop,Maintenance Workshop,,Active
cmic,extinguisher,cambodia,cmic,CMIC-MN-13,ABC Powder,Maintenance Workshop,Maintenance Workshop,Maintenance Workshop,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ADM-04,CO₂,Admin Building,"Admin Building, GF",Admin Building,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ADM-14,ABC Powder,Admin Building,"Admin Building, Parking West",Admin Building,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-02,BC Powder,Accomodation,Building A102,Accomodation,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-09,BC Powder,Accomodation,Building B103,Accomodation,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-10,BC Powder,Accomodation,Building B104,Accomodation,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-35,BC Powder,Accomodation,Building D115,Accomodation,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-41,ABC Powder,Accomodation,Building D205,Accomodation,,Active
cmic,extinguisher,cambodia,cmic,CMIC-ACC-69,ABC Powder,Accomodation,Building M03,Accomodation,,Active
