site,type,country,bu,id,kind,department,area,details,place,location
cho,aed,thailand,th,CHO-AED-CHB-No.01,AED,,IECO Chonburi,Semi-Automatic external defibrillator,,
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-001,Fire Hydrant,,,,กำแพงข้างศาล,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-002,Fire Hydrant,,,,กำแพงฝั่ง GLOW,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-003, Fire Hose Reel,,,,Cold Cut,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-004, Fire Hose Reel,,,,Exit Back DECON,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-005,Fire Hydrant,,,,รั้วหลังโรงล้าง,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-006,Fire Hydrant,,,,กำแพงฝั่ง WMS,IECO Chonburi
cho,hydrant,thailand,th,CHO-FHC-IECO-CHB-007, Fire Hose Reel,,,,ในโรงล้างด้านหน้า,IECO Chonburi
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-001,แบบแขวน,,Entrance-Exit office F1,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-002,แบบแขวน,,ทางเดินห้องโถง F1,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-003,แบบแขวน,,Canteen Office,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-004,แบบแขวน,,Exit Back Office F1,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-005,แบบกล่องยึดติดผนัง,,ทางลงบันได F2,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-006,แบบแขวน,,ทางเดินหน้าห้องน้ำ F2,,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-007,แบบแขวน,,Exit Office F2 (ฝั่งตราชั่ง),,IECO Chonburi,
cho,fireexit,thailand,th,CHO-FP-FXL-CHB-008,แบบกล่องยึดติดผนัง,,Exit Back DECON,,IECO Chonburi,
cho,extinguisher,thailand,th,CHO-FE-CHB-01,Dry Chemical,,Entrance-Exit Office F1,,,IECO Chonburi
cho,extinguisher,thailand,th,CHO-FE-CHB-02,CO2,,Canteen Office,,,IECO Chonburi
cho,extinguisher,thailand,th,CHO-FE-CHB-03,CO2,,ทางลงบันได ชั้น 2,,,IECO Chonburi
cho,extinguisher,thailand,th,CHO-FE-CHB-04,Dry Chemical,,หน้าห้องน้ำ ชั้น 2,,,IECO Chonburi
cho,extinguisher,thailand,th,CHO-FE-CHB-05,CO2,,หน้าห้อง Server ชั้น 2,,,IECO Chonburi
