registerDate,remark,kind,place,area,bu,type,site,id,status,country,email,responseName
,,SafetyHarness,Office Store,STORE,th,equipment,cwt,CWT-ST-EQ-001,Active,thailand,,
,,SafetyHarness,Office Store,STORE,th,equipment,cwt,CWT-ST-EQ-002,Active,thailand,,
,,SafetyHarness,ห้องเก็บเครื่องมือ Fiber,Lamination Area,th,equipment,cwt,CWT-FB-EQ-003,Active,thailand,,
,,SafetyHarness,ห้องเก็บเครื่องมือ Fiber,Lamination Area,th,equipment,cwt,CWT-FB-EQ-004,Active,thailand,,
,,SafetyHarness,ห้องสำนักงาน FG,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-005,Active,thailand,,
,,SafetyHarness,ห้องสำนักงาน FG,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-006,Active,thailand,,
,,SafetyHarness,ห้องเก็บเครื่องมือ MT,Maintenance,th,equipment,cwt,CWT-MT-EQ-007,Active,thailand,,
,,SafetyHarness,ห้องเก็บเครื่องมือ MT,Maintenance,th,equipment,cwt,CWT-MT-EQ-008,Active,thailand,,
,,SafetyHarness,ห้องเก็บเครื่องมือ MT,Maintenance,th,equipment,cwt,CWT-MT-EQ-009,Active,thailand,,
,สูญหาย,SafetyHarness,ห้องอาคารสำนักงาน,Maintenance,th,equipment,cwt,CWT-MT-EQ-027,Active,thailand,,
,,SafetyHarness,จุดคลุมผ้าใบ,Logistics,th,equipment,cwt,CWT-LOG-EQ-010,Active,thailand,,
,,SafetyHarness,จุดคลุมผ้าใบ,Logistics,th,equipment,cwt,CWT-LOG-EQ-011,Active,thailand,,
,ยกเลิกการใช้งานชำรุด,SafetyHarness,จุดคลุมผ้าใบ,Logistics,th,equipment,cwt,CWT-LOG-EQ-012,Inactive,thailand,,
,,รอกโซ่,บริเวณชั้นลอย,Lamination Area,th,equipment,cwt,CWT-LM-EQ-013,Active,thailand,,
,,รอกโซ่ A-Safe,บริเวณชั้นลอย,Lamination Area,th,equipment,cwt,CWT-LM-EQ-014,Active,thailand,,
,,รอก Winch,บริเวณชั้นลอย,Lamination Area,th,equipment,cwt,CWT-LM-EQ-015,Active,thailand,,
,,รอก Fall protetion,บริเวณชั้นลอย,Lamination Area,th,equipment,cwt,CWT-LM-EQ-016,Active,thailand,,
,S/N 5114,รอกโซ่,ห้องเก็บเครื่องมือ Fiber,Fiber  Area,th,equipment,cwt,CWT-FB-EQ-001,Active,thailand,,
,S/N 5111,รอกโซ่,ห้องเก็บเครื่องมือ Fiber,Fiber  Area,th,equipment,cwt,CWT-FB-EQ-002,Active,thailand,,
,S/N 5112,รอกโซ่,ห้องเก็บเครื่องมือ Fiber,Fiber  Area,th,equipment,cwt,CWT-FB-EQ-003,Active,thailand,,
,S/N 30413,รอกโซ่,ห้องเก็บเครื่องมือ Fiber,Fiber  Area,th,equipment,cwt,CWT-FB-EQ-004,Active,thailand,,
,S/N 96845,รอกโซ่,Hopper 1,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-019,Active,thailand,,
,S/N 96818,รอกโซ่,Hopper 2,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-020,Active,thailand,,
,S/N 96851,รอกโซ่,Hopper 3,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-021,Active,thailand,,
,,บันไดทรง A,Office Store,STORE,th,equipment,cwt,CWT-ST-EQ-022,Active,thailand,,
,,บันไดทรง A,Workshop,Maintenance,th,equipment,cwt,CWT-MT-EQ-023,Active,thailand,,
,,บันไดทรง A,ห้องเก็บเครื่องมือ Fiber,Lamination Area,th,equipment,cwt,CWT-LM-EQ-024,Active,thailand,,
,,บันไดสไลด์,ห้องเก็บเครื่องมือ Fiber,Lamination Area,th,equipment,cwt,CWT-LM-EQ-025,Active,thailand,,
,,บันไดทรง A,อาคารซ่อมบำรุง,Finishing Goods,th,equipment,cwt,CWT-FG-EQ-026,Active,thailand,,
,MLHJA2126D5076326,รถมอเตอร์ไซต์,,Mortar Plant,th,motorbike,mortar,1กข9243สบ,Active,thailand,,
