site,id,country,remark,yRegister,type,driverName,kind,details,area,bu,department,status,holder
log,PP3-Vac-05,thailand,คุณพีระ,27/5/2024,truck,บปน.,รถดูดฝุ่น,Dulevo,Packing 3,th,Packing & loading,Active,รถเช่า
log,PP3-Vac-06,thailand,คุณพีระ,27/5/2024,truck,บปน.,รถดูดฝุ่น,Dulevo,Packing 3,th,Packing & loading,Active,รถเช่า
log,LOG-KDC-FL-02,thailand,010302F-1553,,forklift,,Forklift 3T,"HELI, CPCD30M3H , 3T",,th,,,
log,LOG-UDC-FL-02,thailand,010302B7154,,forklift,,Forklift 3T,"HELI, CPCD30M3H , 3T",,th,,,
log,LOG-UDC-FL-01,thailand,010302F-1551,,forklift,,Forklift 3T,"HELI, CPCD30M3H , 3T",,th,,,
log,LOG-SURAT-FL-01,thailand,,,forklift,,Forklift 3T,"TCM, 3T",,th,,,
log,LOG-KDC-FL-01,thailand,010302F-1552,,forklift,,Forklift 3T,"HELI, CPCD30M3H , 3T",,th,,,
log,นว70-7678,thailand,,,bag,,,,,th,,,
log,กท67-3304,thailand,,,bag,,,,,th,,,
log,สบ72-0930,thailand,,,bag,,,,,th,,,
log,ชน70-2637,thailand,,,bag,,,,,th,,,
log,สฎ70-5807,thailand,,,bag,,,,,th,,,
log,สบ72-0740,thailand,,,bag,,,,,th,,,
log,สค71-1140,thailand,,,bag,,,,,th,,,
log,กท67-2571,thailand,,,bag,,,,,th,,,
log,กท68-7529,thailand,,,bag,,,,,th,,,
log,ปจ81-6519,thailand,,,bag,,,,,th,,,
log,อด70-6111,thailand,,,bag,,,,,th,,,
log,กท67-2159,thailand,,,bag,,,,,th,,,
log,นว70-8407,thailand,,,bag,,,,,th,,,
log,นว70-8869,thailand,,,bag,,,,,th,,,
log,สบ72-8157,thailand,,,bag,,,,,th,,,
log,กท61-0166,thailand,,,bag,,,,,th,,,
log,ปจ70-1462,thailand,,,bag,,,,,th,,,
log,ลป70-6080,thailand,,,bag,,,,,th,,,
log,นม71-8251,thailand,,,bag,,,,,th,,,
log,นม87-3033,thailand,,,bag,,,,,th,,,
log,ขก82-6867,thailand,,,bag,,,,,th,,,
log,สบ70-9551,thailand,,,bag,,,,,th,,,
log,นม84-5883,thailand,,,bag,,,,,th,,,
log,ลป70-7064,thailand,,,bag,,,,,th,,,
log,นว71-1102,thailand,,,bag,,,,,th,,,
log,ชร71-0900,thailand,,,bag,,,,,th,,,
log,สบ72-0926,thailand,,,bag,,,,,th,,,
log,สห70-1382,thailand,,,bag,,,,,th,,,
log,กท64-4498,thailand,,,bag,,,,,th,,,
log,อด70-7224,thailand,,,bag,,,,,th,,,
log,สบ72-3601,thailand,,,bag,,,,,th,,,
log,นว70-3040,thailand,,,bag,,,,,th,,,
log,นว70-6773,thailand,,,bag,,,,,th,,,
log,กบ70-1375,thailand,,,bag,,,,,th,,,
log,สบ72-3379,thailand,,,bag,,,,,th,,,
log,อย70-3140,thailand,,,bag,,,,,th,,,
log,นว70-4078,thailand,,,bag,,,,,th,,,
log,กท60-8086,thailand,,,bag,,,,,th,,,
log,ชน70-2764,thailand,,,bag,,,,,th,,,
log,สฎ70-4966,thailand,,,bag,,,,,th,,,
log,กท67-4282,thailand,,,bag,,,,,th,,,
log,กท68-7541,thailand,,,bag,,,,,th,,,
log,กท68-7539,thailand,,,bag,,,,,th,,,
log,สบ71-1996,thailand,,,bag,,,,,th,,,
log,นว70-9684,thailand,,,bag,,,,,th,,,
log,อด70-6110,thailand,,,bag,,,,,th,,,
log,กท67-3807,thailand,,,bag,,,,,th,,,
log,ลป70-8526,thailand,,,bag,,,,,th,,,
log,ลป70-4975,thailand,,,bag,,,,,th,,,
log,ลป70-6074,thailand,,,bag,,,,,th,,,
log,ชม71-0932,thailand,,,bag,,,,,th,,,
log,สฎ70-9648,thailand,,,bag,,,,,th,,,
log,อด70-4925,thailand,,,bag,,,,,th,,,
log,นม85-4559,thailand,,,bag,,,,,th,,,
log,สบ71-0663,thailand,,,bag,,,,,th,,,
log,ปจ81-6475,thailand,,,bag,,,,,th,,,
log,ปท71-6663,thailand,,,bag,,,,,th,,,
log,ชร71-0946,thailand,,,bag,,,,,th,,,
log,ชร70-9246,thailand,,,bag,,,,,th,,,
log,ชร70-9451,thailand,,,bag,,,,,th,,,
log,ปจ81-6518,thailand,,,bag,,,,,th,,,
log,ลป70-5555,thailand,,,bag,,,,,th,,,
log,อย70-5457,thailand,,,bag,,,,,th,,,
log,ปจ81-6461,thailand,,,bag,,,,,th,,,
log,ชน70-3153,thailand,,,bag,,,,,th,,,
log,กท63-5825,thailand,,,bag,,,,,th,,,
log,สก70-2749,thailand,,,bag,,,,,th,,,
log,กท64-4497,thailand,,,bag,,,,,th,,,
log,นว70-6303,thailand,,,bag,,,,,th,,,
log,ขก84-8040,thailand,,,bag,,,,,th,,,
log,กท63-1967,thailand,,,bag,,,,,th,,,
log,นว70-7120,thailand,,,bag,,,,,th,,,
log,สบ72-3820,thailand,,,bag,,,,,th,,,
log,ปข70-3928,thailand,,,bag,,,,,th,,,
log,อด70-6104,thailand,,,bag,,,,,th,,,
log,กท65-8843,thailand,,,bag,,,,,th,,,
log,กท64-6735,thailand,,,bag,,,,,th,,,
log,ชน70-2676,thailand,,,bag,,,,,th,,,
log,นว71-0850,thailand,,,bag,,,,,th,,,
log,ชร70-8031,thailand,,,bag,,,,,th,,,
log,สบ71-1271,thailand,,,bag,,,,,th,,,
log,สบ70-9879,thailand,,,bag,,,,,th,,,
log,ขก82-0627,thailand,,,bag,,,,,th,,,
log,สบบห-4363,thailand,,,bag,,,,,th,,,
log,ปท71-6817,thailand,,,bag,,,,,th,,,
log,ชร71-0918,thailand,,,bag,,,,,th,,,
log,ชร71-0944,thailand,,,bag,,,,,th,,,
log,ชร71-0749,thailand,,,bag,,,,,th,,,
log,ชร70-9102,thailand,,,bag,,,,,th,,,
log,ชร71-1464,thailand,,,bag,,,,,th,,,
log,กพ70-4844,thailand,,,bag,,,,,th,,,
log,อย70-5437,thailand,,,bag,,,,,th,,,
log,นว71-1104,thailand,,,bag,,,,,th,,,
log,สห70-1395,thailand,,,bag,,,,,th,,,
log,ชม71-0934,thailand,,,bag,,,,,th,,,
log,กท64-4454,thailand,,,bag,,,,,th,,,
log,นว70-3155,thailand,,,bag,,,,,th,,,
log,นว71-1148,thailand,,,bag,,,,,th,,,
log,ลป70-7168,thailand,,,bag,,,,,th,,,
log,สบ72-0968,thailand,,,bag,,,,,th,,,
log,สฎ70-6306,thailand,,,bag,,,,,th,,,
log,นว71-0359,thailand,,,bag,,,,,th,,,
log,นม86-7195,thailand,,,bag,,,,,th,,,
log,อด70-5724,thailand,,,bag,,,,,th,,,
log,อด70-6094,thailand,,,bag,,,,,th,,,
log,สบ71-2597,thailand,,,bag,,,,,th,,,
log,กท67-4043,thailand,,,bag,,,,,th,,,
log,กท63-1969,thailand,,,bag,,,,,th,,,
log,อด70-5757,thailand,,,bag,,,,,th,,,
log,ชน70-2721,thailand,,,bag,,,,,th,,,
log,นฐ72-0404,thailand,,,bag,,,,,th,,,
log,สบ72-9751,thailand,,,bag,,,,,th,,,
log,ลป70-5620,thailand,,,bag,,,,,th,,,
log,นว71-1874,thailand,,,bag,,,,,th,,,
log,ลป70-8937,thailand,,,bag,,,,,th,,,
log,สบ72-7587,thailand,,,bag,,,,,th,,,
log,สบ73-0159,thailand,,,bag,,,,,th,,,
log,สบ73-0155,thailand,,,bag,,,,,th,,,
log,ชร70-9508,thailand,,,bag,,,,,th,,,
log,ชร71-0808,thailand,,,bag,,,,,th,,,
log,นว70-3209,thailand,,,bag,,,,,th,,,
log,ปจ81-6502,thailand,,,bag,,,,,th,,,
log,นว71-0269,thailand,,,bag,,,,,th,,,
log,สห70-1268,thailand,,,bag,,,,,th,,,
log,นม71-6017,thailand,,,bag,,,,,th,,,
log,อด70-5438,thailand,,,bag,,,,,th,,,
log,สบ71-9973,thailand,,,bag,,,,,th,,,
log,สฎ70-6312,thailand,,,bag,,,,,th,,,
log,สบ72-1813,thailand,,,bag,,,,,th,,,
log,สค71-1147,thailand,,,bag,,,,,th,,,
log,ปข70-3117,thailand,,,bag,,,,,th,,,
log,ปจ81-6447,thailand,,,bag,,,,,th,,,
log,กท68-7545,thailand,,,bag,,,,,th,,,
log,กท67-2573,thailand,,,bag,,,,,th,,,
log,กท60-9629,thailand,,,bag,,,,,th,,,
log,อด70-6108,thailand,,,bag,,,,,th,,,
log,สบ72-2760,thailand,,,bag,,,,,th,,,
log,ปจ70-1463,thailand,,,bag,,,,,th,,,
log,กท67-2161,thailand,,,bag,,,,,th,,,
log,สบ72-2843,thailand,,,bag,,,,,th,,,
log,ลป70-9098,thailand,,,bag,,,,,th,,,
log,สบ73-0161,thailand,,,bag,,,,,th,,,
log,อด70-3046,thailand,,,bag,,,,,th,,,
log,ชม71-1103,thailand,,,bag,,,,,th,,,
log,สบ71-4154,thailand,,,bag,,,,,th,,,
log,ปท71-6819,thailand,,,bag,,,,,th,,,
log,ชร71-1470,thailand,,,bag,,,,,th,,,
log,ชร71-0942,thailand,,,bag,,,,,th,,,
log,ชร70-9229,thailand,,,bag,,,,,th,,,
log,ชร71-0751,thailand,,,bag,,,,,th,,,
log,ชร71-0752,thailand,,,bag,,,,,th,,,
log,ชพ70-5200,thailand,,,bag,,,,,th,,,
log,กท79-9059,thailand,,,bag,,,,,th,,,
log,สบ71-5445,thailand,,,bag,,,,,th,,,
log,สบ72-6162,thailand,,,bag,,,,,th,,,
log,นฐ72-6158,thailand,,,bag,,,,,th,,,
log,สบ71-9595,thailand,,,bag,,,,,th,,,
log,มค82-2241,thailand,,,bag,,,,,th,,,
log,กท64-4496,thailand,,,bag,,,,,th,,,
log,กพ70-3994,thailand,,,bag,,,,,th,,,
log,นว70-6774,thailand,,,bag,,,,,th,,,
log,พช82-8565,thailand,,,bag,,,,,th,,,
log,นว70-2727,thailand,,,bag,,,,,th,,,
log,สบ72-0914,thailand,,,bag,,,,,th,,,
log,อย70-2330,thailand,,,bag,,,,,th,,,
log,อย70-2323,thailand,,,bag,,,,,th,,,
log,สค71-1212,thailand,,,bag,,,,,th,,,
log,กท67-3720,thailand,,,bag,,,,,th,,,
log,อด70-6151,thailand,,,bag,,,,,th,,,
log,ปข70-3418,thailand,,,bag,,,,,th,,,
log,ปข70-3457,thailand,,,bag,,,,,th,,,
log,กท71-8904,thailand,,,bag,,,,,th,,,
log,สบ83-7342,thailand,,,bag,,,,,th,,,
log,กท60-9630,thailand,,,bag,,,,,th,,,
log,อด70-5730,thailand,,,bag,,,,,th,,,
log,ขก70-9913,thailand,,,bag,,,,,th,,,
log,ชน70-2682,thailand,,,bag,,,,,th,,,
log,ชน70-2674,thailand,,,bag,,,,,th,,,
log,ชน70-1734,thailand,,,bag,,,,,th,,,
log,นว71-1189,thailand,,,bag,,,,,th,,,
log,กบ70-1509,thailand,,,bag,,,,,th,,,
log,นว71-1872,thailand,,,bag,,,,,th,,,
log,ปจ81-6448,thailand,,,bag,,,,,th,,,
log,ชย82-7130,thailand,,,bag,,,,,th,,,
log,สบ71-5995,thailand,,,bag,,,,,th,,,
log,สบ71-2222,thailand,,,bag,,,,,th,,,
log,สบ72-6123,thailand,,,bag,,,,,th,,,
log,ปท71-6836,thailand,,,bag,,,,,th,,,
log,ชร70-6820,thailand,,,bag,,,,,th,,,
log,ชร71-0851,thailand,,,bag,,,,,th,,,
log,ชร71-0809,thailand,,,bag,,,,,th,,,
log,มค82-2105,thailand,,,bag,,,,,th,,,
log,อด70-2437,thailand,,,bag,,,,,th,,,
log,กท60-2763,thailand,,,bag,,,,,th,,,
log,ลป70-7222,thailand,,,bag,,,,,th,,,
log,อย70-3061,thailand,,,bag,,,,,th,,,
log,ลพ70-2347,thailand,,,bag,,,,,th,,,
log,สบ72-0916,thailand,,,bag,,,,,th,,,
log,นว71-0319,thailand,,,bag,,,,,th,,,
log,กท67-4035,thailand,,,bag,,,,,th,,,
log,ปข70-3824,thailand,,,bag,,,,,th,,,
log,ปข70-5493,thailand,,,bag,,,,,th,,,
log,ปข70-5258,thailand,,,bag,,,,,th,,,
log,กท65-1644,thailand,,,bag,,,,,th,,,
log,สบ72-1548,thailand,,,bag,,,,,th,,,
log,อด70-2225,thailand,,,bag,,,,,th,,,
log,กท68-7542,thailand,,,bag,,,,,th,,,
log,สบ72-3640,thailand,,,bag,,,,,th,,,
log,สบ71-9759,thailand,,,bag,,,,,th,,,
log,กท68-7538,thailand,,,bag,,,,,th,,,
log,กท68-7532,thailand,,,bag,,,,,th,,,
log,นว70-9686,thailand,,,bag,,,,,th,,,
log,ชน70-3188,thailand,,,bag,,,,,th,,,
log,ชร70-9221,thailand,,,bag,,,,,th,,,
log,ขก70-9898,thailand,,,bag,,,,,th,,,
log,สบ71-8391,thailand,,,bag,,,,,th,,,
log,นว71-0184,thailand,,,bag,,,,,th,,,
log,สบ72-1746,thailand,,,bag,,,,,th,,,
log,สบ73-0163,thailand,,,bag,,,,,th,,,
log,สบ73-0153,thailand,,,bag,,,,,th,,,
log,อด70-4855,thailand,,,bag,,,,,th,,,
log,นว71-0194,thailand,,,bag,,,,,th,,,
log,สบ73-0154,thailand,,,bag,,,,,th,,,
log,ชร71-1636,thailand,,,bag,,,,,th,,,
log,ชร71-0899,thailand,,,bag,,,,,th,,,
log,ชร70-6962,thailand,,,bag,,,,,th,,,
log,ชร70-9450,thailand,,,bag,,,,,th,,,
log,ชร70-9398,thailand,,,bag,,,,,th,,,
log,สฎ70-9646,thailand,,,bag,,,,,th,,,
log,กท60-2613,thailand,,,bag,,,,,th,,,
log,สบ72-7734,thailand,,,bag,,,,,th,,,
log,กท67-4280,thailand,,,bag,,,,,th,,,
log,สฎ70-5592,thailand,,,bag,,,,,th,,,
log,กท63-7833,thailand,,,bag,,,,,th,,,
log,นว71-0267,thailand,,,bag,,,,,th,,,
log,ปข70-3762,thailand,,,bag,,,,,th,,,
log,นว71-2386,thailand,,,bag,,,,,th,,,
log,สบ73-0372,thailand,,,bag,,,,,th,,,
log,กท67-4033,thailand,,,bag,,,,,th,,,
log,กท67-3558,thailand,,,bag,,,,,th,,,
log,ปจ81-6513,thailand,,,bag,,,,,th,,,
log,ปจ70-2901,thailand,,,bag,,,,,th,,,
log,อด70-5728,thailand,,,bag,,,,,th,,,
log,ชน70-2097,thailand,,,bag,,,,,th,,,
log,ปจ81-6525,thailand,,,bag,,,,,th,,,
log,ลป70-8738,thailand,,,bag,,,,,th,,,
log,สบ70-9412,thailand,,,bag,,,,,th,,,
log,สฎ70-6308,thailand,,,bag,,,,,th,,,
log,กท60-2612,thailand,,,bag,,,,,th,,,
log,ปท71-6385,thailand,,,bag,,,,,th,,,
log,ชร70-8391,thailand,,,bag,,,,,th,,,
log,ชร71-0920,thailand,,,bag,,,,,th,,,
log,ชร71-1632,thailand,,,bag,,,,,th,,,
log,ชร71-1468,thailand,,,bag,,,,,th,,,
log,ชร70-9231,thailand,,,bag,,,,,th,,,
log,ชร71-1548,thailand,,,bag,,,,,th,,,
log,กบ70-1520,thailand,,,bag,,,,,th,,,
log,อด70-7216,thailand,,,bag,,,,,th,,,
