site,type,country,bu,id,kind,name,sitename,place,location,owner,plantname
log,harness,thailand,th,LOG-KDC-PL-01,Portable Ladder,คลังสินค้าขอนแก่น KDC-PL-01,คลังสินค้าขอนแก่น,สิวะดลบริหารสินค้า สาขาขอนแก่น,"16.47420039225309, 102.84481259425142",บริษัท สิวะดลบริหารสินค้า จำกัด,คลังสินค้าขอนแก่น
log,harness,thailand,th,LOG-KDC-PL-02,Portable Ladder,คลังสินค้าขอนแก่น KDC-PL-02,คลังสินค้าขอนแก่น,สิวะดลบริหารสินค้า สาขาขอนแก่น,"16.47420039225309, 102.84481259425142",บริษัท สิวะดลบริหารสินค้า จำกัด,คลังสินค้าขอนแก่น
log,harness,thailand,th,LOG-UDC-PL-01,Portable Ladder,คลังสินค้าอุดรธานี UDC-PL-01,คลังสินค้าอุดรธานี,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน) ศูนย์กระจายสินค้าอุดรธานี,"17.33549696163482, 102.83515426429938",บริษัท สิวะดลบริหารสินค้า จำกัด,คลังสินค้าอุดรธานี
log,harness,thailand,th,LOG-UDC-PL-02,Portable Ladder,คลังสินค้าอุดรธานี UDC-PL-02,คลังสินค้าอุดรธานี,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน) ศูนย์กระจายสินค้าอุดรธานี,"17.33549696163482, 102.83515426429938",บริษัท สิวะดลบริหารสินค้า จำกัด,คลังสินค้าอุดรธานี
log,emergency,thailand,th,LOG-EL.OB.2.06,Emergency Light,,,สำนักงานตึก 1 ชั้น2 ห้องประชุมสันติสุข,,CTC,
log,emergency,thailand,th,LOG-EL.OB.2.07,Emergency Light,,,สำนักงานตึก1 บันไดทางขึ้นชั้น 3,,CTC,
log,emergency,thailand,th,LOG-EL.TC.2.02,Emergency Light,,,อาคาร Lab ชั้น2 ห้องประชุมปทุม 2,,CTC,
log,emergency,thailand,th,LOG-EL.TC.2.03,Emergency Light,,,ห้องพักรับรอง ชั้น2 อาคารหอประชุม,,CTC,
log,emergency,thailand,th,LOG-EL.OB.G.02,Emergency Light,,,สำนักงานตึก1 ชั้น1 ฝั่ง PDD ห้องประชุมเล็ก PDD,,PDD,
log,emergency,thailand,th,LOG-EL.OF.01,Emergency Light,,,อาคาร Lab ชั้น1 ออฟฟิศ PDD,,PDD,
log,emergency,thailand,th,LOG-EL.OF.03,Emergency Light,,,อาคาร Lab ชั้น1 พื้นที่ทดสอบ Trial  Mix  PDD,,PDD,
log,emergency,thailand,th,LOG-EL.OB.G.01,Emergency Light,,,สำนักงานตึก1 ชั้น1 ฝั่งCTC พื้นที่รวม,,CTC,
log,emergency,thailand,th,LOG-EL.OB.1.05,Emergency Light,,,สำนักงานตึก1 บันไดทางขึ้นชั้น 2,,CTC,
log,emergency,thailand,th,LOG-EL.TC.2.01,Emergency Light,,,อาคาร Lab ชั้น2 ห้องประชุมปทุม 1,,CTC,
log,emergency,thailand,th,LOG-EL.OB.G.03,Emergency Light,,,สำนักงานตึก1 ชั้น1 ฝั่ง PDD ห้องทำงานพี่ ดร.วันเฉลิม,,PDD,
log,emergency,thailand,th,LOG-EL.OB.G.04,Emergency Light,,,สำนักงานตึก1 ชั้น1 ฝั่ง PDD พื้นที่รวม,,PDD,
log,emergency,thailand,th,LOG-EL.OF.02,Emergency Light,,,อาคาร Lab ชั้น1 พื้นที่ทดสอบ Trial  Mix  PDD,,PDD,
log,extinguisher,thailand,th,LOG-KDC-FE-004,Dry chemical,,,คลัง B ข้างประตู,คลังสินค้าขอนแก่น ชั้น 1,คลังสินค้าขอนแก่น,
log,extinguisher,thailand,th,LOG-KDC-FE-005,Dry chemical,,,คลัง A ข้างประตู,คลังสินค้าขอนแก่น ชั้น 1,คลังสินค้าขอนแก่น,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-002,BF2000,,,ทางเดินสำนักงานจัดส่ง,office ชั้น 1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-008,Dry chemical,,,บันไดทางขึ้นชั้น2,office ชั้น 2,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-021,BF2000,,,,MDB&MCC1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-034,BF2000,,,,PM Office,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-PK-PLOC.012,Dry chemical,,,อาคารจุด Gat-In ( Y.1 ) ช่องที่ 3,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PK-PLOC.015,Dry chemical,,,อาคารจุด Gat-In ( Y.1 ) ช่องที่ 4,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.036,Dry chemical,,,ป้อม รปภ.,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.042,Dry chemical,,,ร้านที่ 5 ร้านป้าแหวง,ศบล.ชั้น 1,Dispatching,
