site,type,country,bu,id,kind,owner,place,location
sccc,aed,thailand,th,SCCC-SRB-AED-01,เครื่องกระตุกหัวใจ AED,"OHS-TH, SRB",อาคารจัดซื้อ ฝ่าย OHS-TH,หน้าห้องประชุมถุงทอง
sccc,aed,thailand,th,SCCC-COL-AED-02,เครื่องกระตุกหัวใจ AED,Column Tower,อาคารคอลัมน์ทาวเวอร์ ชั้น 12,หน้าห้องคุณเบญฯ
sccc,aed,thailand,th,SCCC-COL-AED-03,เครื่องกระตุกหัวใจ AED,Column Tower,อาคารคอลัมน์ทาวเวอร์ ชั้น 3,หน้าห้องพยาบาล
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.3-05,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.3
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.12-02,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.12
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.12-05,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.12
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.3-04,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.3
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.10-04,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.10
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.12-04,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.12
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.3-07,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.3
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.12-01,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.12
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.10-08,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.10
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.10-06,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.10
sccc,fireexit,thailand,th,SCCC-OHS-EX-03,ป้ายทางหนีไฟ,"OHS-TH, SRB","OHS-TH, หน้าห้องประชุมถุงทอง",อาคารฝ่ายความปลอดภัย OHS-Thailand
sccc,fireexit,thailand,th,SCCC-BKK-EXFL.3-09,ป้ายทางหนีไฟ,Column tower,-,Column tower ชั้น FL.3
