cluster,type,owner,plantname,lastAccidentDate,endDate,id,country,status,beginDate,site,bu
EBKK,plant,C301-หน่วยผลิต บางนา,หน่วยผลิต บางนา,,kanchit.chincharoentham@siamcitycement.com,C301,thailand,Active,subin.jumpa@siamcitycement.com,ebkk,th
EBKK,plant,C302-หน่วยผลิต บางบ่อ,หน่วยผลิต บางบ่อ,,kanchit.chincharoentham@siamcitycement.com,C302,thailand,Active,natthapat.rurgchaisri@siamcitycement.com,ebkk,th
EBKK,plant,C305-หน่วยผลิต กิ่งแก้ว,หน่วยผลิต กิ่งแก้ว,,kanchit.chincharoentham@siamcitycement.com,C305,thailand,Active,subin.jumpa@siamcitycement.com,ebkk,th
EBKK,plant,C318-หน่วยผลิต คลองสุวรรณภูมิ,หน่วยผลิต คลองสุวรรณภูมิ,,kanchit.chincharoentham@siamcitycement.com,C318,thailand,Active,natthapat.rurgchaisri@siamcitycement.com,ebkk,th
EBKK,plant,C345-หน่วยผลิต บางเสาธง,หน่วยผลิต บางเสาธง,,kanchit.chincharoentham@siamcitycement.com,C345,thailand,Active,natthapat.rurgchaisri@siamcitycement.com,ebkk,th
EBKK,plant,C362-หน่วยผลิต สวนหลวง,หน่วยผลิต สวนหลวง,,kanchit.chincharoentham@siamcitycement.com,C362,thailand,Active,yotsakon.palakarn@siamcitycement.com,ebkk,th
EBKK,plant,C365-หน่วยผลิต วงแหวนใต้2,หน่วยผลิต วงแหวนใต้2,,kanchit.chincharoentham@siamcitycement.com,C365,thailand,Active,somsak.onthong@siamcitycement.com,ebkk,th
EBKK,plant,C429-หน่วยผลิต บางปู,หน่วยผลิต บางปู,,kanchit.chincharoentham@siamcitycement.com,C429,thailand,Active,somsak.onthong@siamcitycement.com,ebkk,th
EBKK,plant,C434-หน่วยผลิต เอเชีย ไออี,หน่วยผลิต เอเชีย ไออี,,kanchit.chincharoentham@siamcitycement.com,C434,thailand,Active,yotsakon.palakarn@siamcitycement.com,ebkk,th
EBKK,plant,C449-หน่วยผลิต ลาดกระบัง 2,หน่วยผลิต ลาดกระบัง 2,Thu Apr 19 2018 00:00:00 GMT+0700 (Indochina Time),kanchit.chincharoentham@siamcitycement.com,C449,thailand,Active,yotsakon.palakarn@siamcitycement.com,ebkk,th
EBKK,plant,C493-หน่วยผลิต ไอทีดี สุวรรณภูมิ 1-2,หน่วยผลิต ไอทีดี สุวรรณภูมิ 1-2,,kanchit.chincharoentham@siamcitycement.com,C493,thailand,Active,amornmit.kaewsri@siamcitycement.com,ebkk,th
EBKK,plant,C494-หน่วยผลิต ไอทีดี สุวรรณภูมิ 3-4,หน่วยผลิต ไอทีดี สุวรรณภูมิ 3-4,,kanchit.chincharoentham@siamcitycement.com,C494,thailand,Active,amornmit.kaewsri@siamcitycement.com,ebkk,th
EBKK,plant,C497-หน่วยผลิต บางปู 4,หน่วยผลิต บางปู 4,,kanchit.chincharoentham@siamcitycement.com,C497,thailand,Active,somsak.onthong@siamcitycement.com,ebkk,th
,frontend,บริษัท กิจสวัสดิ์ ขนส่ง,,,,OFFICE-Frontend-No.30,thailand,Active,,office,th
,frontend,บริษัท คิวแคร์ริเออร์,,,,OFFICE-Frontend-No.6,thailand,Active,,office,th
,frontend,บริษัท ดับเบิ้ลซี,,,,OFFICE-Frontend-No.22,thailand,Inactive,,office,th
