site,type,country,bu,id,kind,owner,place,location,regDate,status,email
office,harness,thailand,th,OFFICE-C309-H-01,Harness,IBKK,111IB01,"C309, หน่วยผลิตรามอินทรา 3",,Active,
office,harness,thailand,th,OFFICE-C363-H-01,Harness,IBKK,111IB05,"C363, หน่วยผลิตเกษตรนวมินทร์ 1",,Active,
office,harness,thailand,th,OFFICE-C397-H-01,Harness,IBKK,111WB09,"C397, หน่วยผลิตวงศ์สว่าง",,Active,
office,harness,thailand,th,OFFICE-C422-H-01,Harness,IBKK,111IB06,"C422, หน่วยผลิตพระราม 9 (3)",,Active,
office,harness,thailand,th,OFFICE-C423-H-01,Harness,IBKK,111NB08,"C423, หน่วยผลิตหลักสี่",,Active,
office,harness,thailand,th,OFFICE-C442-H-01,Harness,IBKK,111PR13,"C442, หน่วยผลิตเกษตรนวมินทร์ 2",,Active,
office,harness,thailand,th,OFFICE-C443-H-01,Harness,IBKK,111IB12,"C443, หน่วยผลิตมีนบุรี",,Active,
office,harness,thailand,th,OFFICE-C455-H-01,Harness,IBKK,111IB13,"C455, หน่วยผลิตพระราม 9 (5)",,Active,
office,harness,thailand,th,OFFICE-C457-H-01,Harness,IBKK,111IB14,"C457, หน่วยผลิตพระราม 9 (4)",,Active,
office,harness,thailand,th,OFFICE-C477-H-01,Harness,IBKK,111IB18,"C477, หน่วยผลิตบางจาก",,Active,
office,harness,thailand,th,OFFICE-C492-H-01,Harness,IBKK,111IB21,"C492, หน่วยผลิตบางหญ้าแพรก",,Active,
office,harness,thailand,th,OFFICE-C307-H-01,Harness,NBKK,111NB01,"C307, หน่วยผลิตคูคต",,Active,
office,harness,thailand,th,OFFICE-C319-H-01,Harness,NBKK,111NB04,"C319, หน่วยผลิตนวนคร",,Active,
office,harness,thailand,th,OFFICE-C343-H-01,Harness,NBKK,111NB02,"C343, หน่วยผลิตธัญบุรี",,Active,
office,harness,thailand,th,OFFICE-C356-H-01,Harness,NBKK,111NB05,"C356, หน่วยผลิตวังน้อย",,Active,
office,harness,thailand,th,OFFICE-C358-H-01,Harness,NBKK,111NB03,"C358, หน่วยผลิตลำลูกกา",,Active,
office,harness,thailand,th,OFFICE-C390-H-01,Harness,NBKK,111NB06,"C390, หน่วยผลิตพฤกษา 3",,Active,
office,harness,thailand,th,OFFICE-C398-H-01,Harness,NBKK,111NB06,"C398, หน่วยผลิตพฤกษา 4",,Active,
office,harness,thailand,th,OFFICE-C400-H-01,Harness,NBKK,111NB06,"C400, หน่วยผลิตพฤกษา 5",,Active,
office,harness,thailand,th,OFFICE-C430-H-01,Harness,NBKK,111NB09,"C430, หน่วยผลิตพฤกษา 6",,Active,
office,harness,thailand,th,OFFICE-C431-H-01,Harness,NBKK,111NB09,"C431, หน่วยผลิตพฤกษา 7",,Active,
office,harness,thailand,th,OFFICE-C438-H-01,Harness,NBKK,111WB12,"C438, หน่วยผลิตปทุมธานี",,Active,
office,harness,thailand,th,OFFICE-C483-H-01,Harness,NBKK,111NB14,"C483, หน่วยผลิต GEL เชียงรากน้อย",,Active,
office,harness,thailand,th,OFFICE-C301-H-01,Harness,EBKK,111EB01,"C301, หน่วยผลิตบางนา 2 ",,Active,
office,harness,thailand,th,OFFICE-C302-H-01,Harness,EBKK,111EB03,"C302, หน่วยผลิตบางบ่อ ",,Active,
office,harness,thailand,th,OFFICE-C305-H-01,Harness,EBKK,111EB02,"C305, หน่วยผลิตกิ่งแก้ว ",,Active,
office,harness,thailand,th,OFFICE-C318-H-01,Harness,EBKK,111EB12,"C318, หน่วยผลิตคลองสุวรรณภูมิ",,Active,
office,harness,thailand,th,OFFICE-C345-H-01,Harness,EBKK,111EB06,"C345, หน่วยผลิตบางเสาธง ",,Active,
office,harness,thailand,th,OFFICE-C362-H-01,Harness,EBKK,111IB11,"C362, หน่วยผลิตสวนหลวง",,Active,
office,harness,thailand,th,OFFICE-C365-H-01,Harness,EBKK,111EB08,"C365, หน่วยผลิตวงแหวนใต้ 2 ",,Active,
office,harness,thailand,th,OFFICE-C429-H-01,Harness,EBKK,111EB10,"C429, หน่วยผลิตบางปู 2",,Active,
office,harness,thailand,th,OFFICE-C434-H-01,Harness,EBKK,111EA21,"C434, หน่วยผลิตเอเซียไออีสุวรรณภูมิ",,Active,
office,harness,thailand,th,OFFICE-C449-H-01,Harness,EBKK,111EB13,"C449, หน่วยผลิตลาดกระบัง 2",,Active,
office,harness,thailand,th,OFFICE-C311-H-01,Harness,WBKK,111WB02,"C311, หน่วยผลิตบางใหญ่",,Active,
office,harness,thailand,th,OFFICE-C314-H-01,Harness,WBKK,111WB05,"C314, หน่วยผลิตราษฎร์บูรณะ ",,Active,
office,harness,thailand,th,OFFICE-C340-H-01,Harness,WBKK,111WB01,"C340, หน่วยผลิตบางบัวทอง",,Active,
office,harness,thailand,th,OFFICE-C344-H-01,Harness,WBKK,111WB03,"C344, หน่วยผลิตบางขุนเทียน",,Active,
office,harness,thailand,th,OFFICE-C357-H-01,Harness,WBKK,111WB04,"C357, หน่วยผลิตบางกรวย",,Active,
office,harness,thailand,th,OFFICE-C359-H-01,Harness,WBKK,111WB06,"C359, หน่วยผลิตปากเกร็ด",,Active,
office,harness,thailand,th,OFFICE-C388-H-01,Harness,WBKK,111WB07,"C388, หน่วยผลิตราชพฤกษ์",,Active,
office,harness,thailand,th,OFFICE-C415-H-01,Harness,WBKK,111WB10,"C415, หน่วยผลิตแจ้งวัฒนะ 3",,Active,
office,harness,thailand,th,OFFICE-C453-H-01,Harness,WBKK,111NB10,"C453, หน่วยผลิต 345 Highway",,Active,
office,harness,thailand,th,OFFICE-C464-H-01,Harness,WBKK,111WB14,"C464, หน่วยผลิตพระประแดง",,Active,
office,harness,thailand,th,OFFICE-C346-H-01,Harness,ESB,111EA04,"C346, หน่วยผลิตมาบตาพุด IE 1",,Active,
office,harness,thailand,th,OFFICE-C347-H-01,Harness,ESB,111EA05,"C347, หน่วยผลิตอมตะนคร 1",,Active,
office,harness,thailand,th,OFFICE-C352-H-01,Harness,ESB,111EA07,"C352, หน่วยผลิตระยอง 2",,Active,
office,harness,thailand,th,OFFICE-C354-H-01,Harness,ESB,111EA08,"C354, หน่วยผลิตอมตะซิตี้ 1",,Active,
office,harness,thailand,th,OFFICE-C374-H-01,Harness,ESB,111EA13,"C374, หน่วยผลิตอมตะซิตี้ 2",,Active,
office,harness,thailand,th,OFFICE-C382-H-01,Harness,ESB,111EA15,"C382, หน่วยผลิตเหมราช IE 1",,Active,
office,harness,thailand,th,OFFICE-C385-H-01,Harness,ESB,111EA04,"C385, หน่วยผลิตมาบตาพุด IE 3",,Active,
office,harness,thailand,th,OFFICE-C399-H-01,Harness,ESB,111EA15,"C399, หน่วยผลิตเหมราช IE 2",,Active,
office,harness,thailand,th,OFFICE-C407-H-01,Harness,ESB,111EA14,"C407, หน่วยผลิตบ้านโพธิ์",,Active,
office,harness,thailand,th,OFFICE-C409-H-01,Harness,ESB,111EA12,"C409, หน่วยผลิตอมตะซิตี้ 3",,Active,
office,harness,thailand,th,OFFICE-C420-H-01,Harness,ESB,111EA11,"C420, หน่วยผลิตระยอง 3",,Active,
office,harness,thailand,th,OFFICE-C445-H-01,Harness,ESB,111EA16,"C445, หน่วยผลิตศรีราชา",,Active,
ebkk,extinguisher,thailand,th,EBKK-EBKK-C434-46,CO2,C434,Mobile office,"EBKK, เอเชียไออี",,Active,sccoplant.asiaiesuvarnabhumi@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C434-47,Dry Chemical,C434,Mixer,"EBKK, เอเชียไออี",,Active,sccoplant.asiaiesuvarnabhumi@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C302-48,CO2,C302,Mobile Office,"EBKK, บางบ่อ",,Active,sccoplant.bangbor@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C302-49,Dry Chemical,C302,Mixer,"EBKK, บางบ่อ",,Active,sccoplant.bangbor@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C301-50,Dry Chemical,C301,Mixer,"EBKK, บางนา 2",,Active,sccoplant.bangna2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C301-51,CO2,C301,Mobile Office,"EBKK, บางนา 2",,Active,sccoplant.bangna2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C429-52,CO2,C429,Mobile Office,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C429-53,Dry Chemical,C429,Mixer,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C429-54,CO2,C429,Mobile Office,"EBKK, บางปู 2",,Active,sccoplant.bangpoo2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C345-55,Dry Chemical,C345,Mixer,"EBKK, บางเสาธง",,Active,SCCOPlant.Bangsaothong@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C345-56,CO2,C345,Mobile Office,"EBKK, บางเสาธง",,Active,SCCOPlant.Bangsaothong@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C305-57,CO2,C305,Mobile Office,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C305-58,Dry Chemical,C305,Mixer,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C305-59,Dry Chemical,C305,ป้อมรปภ.,"EBKK, กิ่งแก้ว",,Active,sccoplant.kingkaew@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C318-60,CO2,C318,Mobile office,"EBKK, คลองสุวรรณภูมิ",,Active,SCCOPlant.KlongSuvarnnabhumi@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C318-61,Dry Chemical,C318,Mixer,"EBKK, คลองสุวรรณภูมิ",,Active,SCCOPlant.KlongSuvarnnabhumi@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C449-62,CO2,C449,Mobile Office,"EBKK, ลาดกระบัง2",,Active,SCCOPlant.Ladkrabang2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C449-63,Dry Chemical,C449,Mixer,"EBKK, ลาดกระบัง2",,Active,SCCOPlant.Ladkrabang2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C365-66,Dry Chemical,C365,Mixer,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C365-67,Dry Chemical,C365,ที่เก็บก้อนตัวอย่าง,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C365-68,Dry Chemical,C365,ที่ป้อมยาม,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C365-69,CO2,C365,Mobile Office,"EBKK, วงแหวนใต้2",,Active,SCCOPlant.SouthernRingRoad2@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C362-70,CO2,C362,Mobile Office,"EBKK, สวนหลวง",,Active,SCCOPlant.RL-SuanLuang@siamcitycement.com
ebkk,extinguisher,thailand,th,EBKK-EBKK-C362-71,CO2,C362,Mixer,"EBKK, สวนหลวง",,Active,SCCOPlant.RL-SuanLuang@siamcitycement.com
