StatusActive,lastAccidentDate,id,emailAreaMgr,beginDate,site,name,endDate,emailPlantMgr,startDate,bu,type
Active,,C301,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต บางนา,Tue Dec 31 00:00:00 GMT+07:00 2024,SUBIN.JUMPA@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C302,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต บางบ่อ,Tue Dec 31 00:00:00 GMT+07:00 2024,NATTHAPAT.RURGCHAISRI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C305,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต กิ่งแก้ว,Tue Dec 31 00:00:00 GMT+07:00 2024,SUBIN.JUMPA@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C318,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต คลองสุวรรณภูมิ,Tue Dec 31 00:00:00 GMT+07:00 2024,NATTHAPAT.RURGCHAISRI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C345,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต บางเสาธง,Tue Dec 31 00:00:00 GMT+07:00 2024,NATTHAPAT.RURGCHAISRI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C362,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต สวนหลวง,Tue Dec 31 00:00:00 GMT+07:00 2024,YOTSAKON.PALAKARN@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C365,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต วงแหวนใต้2,Tue Dec 31 00:00:00 GMT+07:00 2024,somsak.onthong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C429,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต บางปู,Tue Dec 31 00:00:00 GMT+07:00 2024,somsak.onthong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C434,kanchit.chincharoentham@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต เอเชีย ไออี,Tue Dec 31 00:00:00 GMT+07:00 2024,YOTSAKON.PALAKARN@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,Thu Apr 19 00:00:00 GMT+07:00 2018,C449,kanchit.chincharoentham@siamcitycement.com,Wed Aug 19 00:00:00 GMT+07:00 2015,EBKK,หน่วยผลิต ลาดกระบัง 2,Tue Dec 31 00:00:00 GMT+07:00 2024,YOTSAKON.PALAKARN@SIAMCITYCEMENT.COM,Thu Apr 19 00:00:00 GMT+07:00 2018,th,rmxplant
Active,,C346,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต มาบตาพุดไออี 1,Tue Dec 31 00:00:00 GMT+07:00 2024,adisorn.aemjan@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C347,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต อมตะนคร1,Tue Dec 31 00:00:00 GMT+07:00 2024,CHALERMPON.SOISUWAN@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C352,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต ระยอง2,Tue Dec 31 00:00:00 GMT+07:00 2024,adisorn.aemjan@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C354,uruwong.channarong@siamcitycement.com,Mon Apr 25 00:00:00 GMT+07:00 2016,ESB,หน่วยผลิต อมตะซิตี้ 1,Fri Apr 25 00:00:00 GMT+07:00 2025,adisorn.aemjan@siamcitycement.com,Mon Apr 25 00:00:00 GMT+07:00 2016,th,rmxplant
Active,,C374,uruwong.channarong@siamcitycement.com,Wed Jun 01 00:00:00 GMT+07:00 2022,ESB,หน่วยผลิต อมตะซิตี้ 2,Sun Jun 01 00:00:00 GMT+07:00 2025,adisorn.aemjan@siamcitycement.com,Wed Jun 01 00:00:00 GMT+07:00 2022,th,rmxplant
Active,,C385,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต มาบตาพุดไออี 3,Tue Dec 31 00:00:00 GMT+07:00 2024,adisorn.aemjan@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C399,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต เหมราช IE 2,Tue Dec 31 00:00:00 GMT+07:00 2024,adisorn.aemjan@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C407,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต บ้านโพธิ์,Tue Dec 31 00:00:00 GMT+07:00 2024,CHALERMPON.SOISUWAN@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,Wed Jan 05 00:00:00 GMT+07:00 2022,C409,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต อมตะซิตี้ 3,Sun Jan 05 00:00:00 GMT+07:00 2025,adisorn.aemjan@siamcitycement.com,Wed Jan 05 00:00:00 GMT+07:00 2022,th,rmxplant
Active,,C420,uruwong.channarong@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,ESB,หน่วยผลิต ระยอง 3,Tue Dec 31 00:00:00 GMT+07:00 2024,adisorn.aemjan@siamcitycement.com,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C445,uruwong.channarong@siamcitycement.com,Tue Feb 23 00:00:00 GMT+07:00 2016,ESB,หน่วยผลิต ศรีราชา,Sun Feb 23 00:00:00 GMT+07:00 2025,CHALERMPON.SOISUWAN@SIAMCITYCEMENT.COM,Tue Feb 23 00:00:00 GMT+07:00 2016,th,rmxplant
Active,,C474,uruwong.channarong@siamcitycement.com,Mon Jul 29 00:00:00 GMT+07:00 2019,ESB,หน่วยผลิต Mobilefleet 1,Tue Jul 29 00:00:00 GMT+07:00 2025,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Mon Jul 29 00:00:00 GMT+07:00 2019,th,rmxplant
Active,,C456,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Thu Nov 17 00:00:00 GMT+07:00 2016,HSR,หน่วยผลิต พระพุทธบาท,Tue Dec 31 00:00:00 GMT+07:00 2024,ANIRUT.THUEKAEW@SIAMCITYCEMENT.COM,Thu Nov 17 00:00:00 GMT+07:00 2016,th,rmxplant
Active,,C478,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Fri Mar 01 00:00:00 GMT+07:00 2024,HSR,หน่วยผลิต Mobilefleet 2,Sat Mar 01 00:00:00 GMT+07:00 2025,ANIRUT.THUEKAEW@SIAMCITYCEMENT.COM,Fri Mar 01 00:00:00 GMT+07:00 2024,th,rmxplant
Active,,C481,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,HSR,หน่วยผลิต Mobilefleet 3,Thu Apr 24 00:00:00 GMT+07:00 2025,KRIANGSAK.KHASING@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,th,rmxplant
Active,,C484,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,HSR,หน่วยผลิต HSR สระบุรี 4-7,Thu Apr 24 00:00:00 GMT+07:00 2025,ANIRUT.THUEKAEW@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,th,rmxplant
Active,,C487,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Tue Mar 01 00:00:00 GMT+07:00 2022,HSR,หน่วยผลิต HSR สีคิ้ว,Sat Mar 01 00:00:00 GMT+07:00 2025,KRIANGSAK.KHASING@SIAMCITYCEMENT.COM,Tue Mar 01 00:00:00 GMT+07:00 2022,th,rmxplant
Active,,C488,ATTAPHON.PHOMMARD@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,HSR,หน่วยผลิต HSR ปากช่อง 3-3,Thu Apr 24 00:00:00 GMT+07:00 2025,KRIANGSAK.KHASING@SIAMCITYCEMENT.COM,Sat Apr 24 00:00:00 GMT+07:00 2021,th,rmxplant
Active,,C489,,Tue Feb 01 00:00:00 GMT+07:00 2022,HSR,หน่วยผลิต HSR สระบุรี 4-7#2,Sat Feb 01 00:00:00 GMT+07:00 2025,kidsadakorn.arammuang@siamcitycement.com,Tue Feb 01 00:00:00 GMT+07:00 2022,th,rmxplant
Active,Wed Jan 18 00:00:00 GMT+07:00 2017,A201,,Thu May 24 00:00:00 GMT+07:00 2012,IAGG,AGG สุพรรณบุรี,Tue Dec 31 00:00:00 GMT+07:00 2024,WITCHANU.POOBUTCHA@SIAMCITYCEMENT.COM,Wed Jan 18 00:00:00 GMT+07:00 2017,th,rmxplant
Active,,A101,,Sun Jan 01 00:00:00 GMT+07:00 2006,IAGG,AGG อยุธยา,Tue Dec 31 00:00:00 GMT+07:00 2024,WITCHANU.POOBUTCHA@SIAMCITYCEMENT.COM,Sun Jan 01 00:00:00 GMT+07:00 2006,th,rmxplant
Active,,A103,,Thu Jan 01 00:00:00 GMT+07:00 2015,IAGG,AGG อ่างทอง,Tue Dec 31 00:00:00 GMT+07:00 2024,WITCHANU.POOBUTCHA@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,A104,,Wed Jan 01 00:00:00 GMT+07:00 2014,IAGG,AGG ราชบุรี,Tue Dec 31 00:00:00 GMT+07:00 2024,WITCHANU.POOBUTCHA@SIAMCITYCEMENT.COM,Wed Jan 01 00:00:00 GMT+07:00 2014,th,rmxplant
Active,Mon Dec 12 00:00:00 GMT+07:00 2022,C309,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต รามอินทรา,Tue Dec 31 00:00:00 GMT+07:00 2024,KRAITHAWAT.CHAIVEJ@SIAMCITYCEMENT.COM,Mon Dec 12 00:00:00 GMT+07:00 2022,th,rmxplant
Active,Thu Aug 29 00:00:00 GMT+07:00 2019,C363,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต เกษตรนวมินทร์ 1,Tue Dec 31 00:00:00 GMT+07:00 2024,KRAITHAWAT.CHAIVEJ@SIAMCITYCEMENT.COM,Thu Aug 29 00:00:00 GMT+07:00 2019,th,rmxplant
Active,,C397,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Tue Feb 16 00:00:00 GMT+07:00 2016,IBKK,หน่วยผลิต วงศ์สว่าง 1,Sun Feb 16 00:00:00 GMT+07:00 2025,AMNART.KHANTISATJAPONG@SIAMCITYCEMENT.COM,Tue Feb 16 00:00:00 GMT+07:00 2016,th,rmxplant
Active,,C422,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต พระราม 9/3,Tue Dec 31 00:00:00 GMT+07:00 2024,AMORNMIT.KAEWSRI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C423,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต หลักสี่,Tue Dec 31 00:00:00 GMT+07:00 2024,AMNART.KHANTISATJAPONG@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C442,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต เกษตรนวมินทร์ 2,Tue Dec 31 00:00:00 GMT+07:00 2024,KRAITHAWAT.CHAIVEJ@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C443,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Fri Jun 26 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต มีนบุรี,Tue Dec 31 00:00:00 GMT+07:00 2024,KRAITHAWAT.CHAIVEJ@SIAMCITYCEMENT.COM,Fri Jun 26 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C455,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Sep 01 00:00:00 GMT+07:00 2016,IBKK,หน่วยผลิต พระราม9/5,Mon Sep 01 00:00:00 GMT+07:00 2025,AMORNMIT.KAEWSRI@SIAMCITYCEMENT.COM,Thu Sep 01 00:00:00 GMT+07:00 2016,th,rmxplant
Active,,C457,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,IBKK,หน่วยผลิต พระราม 9/4,Tue Dec 31 00:00:00 GMT+07:00 2024,AMORNMIT.KAEWSRI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C492,DIDWARIN.SORANANUPAP@SIAMCITYCEMENT.COM,Mon May 01 00:00:00 GMT+07:00 2023,IBKK,หน่วยผลิต บางหญ้าแพรก,Thu May 01 00:00:00 GMT+07:00 2025,SITTHAN.THANYARATANAKORN@SIAMCITYCEMENT.COM,Mon May 01 00:00:00 GMT+07:00 2023,th,rmxplant
Active,,C307,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต คูคต,Tue Dec 31 00:00:00 GMT+07:00 2024,THAMMARONG.DEEKUM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C319,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต นวนคร,Tue Dec 31 00:00:00 GMT+07:00 2024,THAMMARONG.DEEKUM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C343,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต ธัญบุรีคลอง7,Tue Dec 31 00:00:00 GMT+07:00 2024,THAMMARONG.DEEKUM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C356,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต วังน้อย,Tue Dec 31 00:00:00 GMT+07:00 2024,BOONSONG.YOYRUM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C358,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต ลำลูกกา,Tue Dec 31 00:00:00 GMT+07:00 2024,BOONSONG.YOYRUM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C390,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต PCF3,Tue Dec 31 00:00:00 GMT+07:00 2024,CHANCHAI.DENDONSAI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C398,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต PCF4,Tue Dec 31 00:00:00 GMT+07:00 2024,CHANCHAI.DENDONSAI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C400,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต PCF5,Tue Dec 31 00:00:00 GMT+07:00 2024,CHANCHAI.DENDONSAI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C430,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต PCF6,Tue Dec 31 00:00:00 GMT+07:00 2024,CHANCHAI.DENDONSAI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C431,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต PCF7,Tue Dec 31 00:00:00 GMT+07:00 2024,CHANCHAI.DENDONSAI@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C438,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Thu Sep 03 00:00:00 GMT+07:00 2015,NBKK,หน่วยผลิต ปทุมธานี,Tue Dec 31 00:00:00 GMT+07:00 2024,BOONSONG.YOYRUM@SIAMCITYCEMENT.COM,Thu Sep 03 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C483,PORJATE.SUBPHANLIE@SIAMCITYCEMENT.COM,Wed Aug 05 00:00:00 GMT+07:00 2020,NBKK,หน่วยผลิต GEL เชียงรากน้อย,Tue Aug 05 00:00:00 GMT+07:00 2025,BOONSONG.YOYRUM@SIAMCITYCEMENT.COM,Wed Aug 05 00:00:00 GMT+07:00 2020,th,rmxplant
Active,,C328,URUWONG.CHANNARONG@SIAMCITYCEMENT.COM,Mon Sep 27 00:00:00 GMT+07:00 2021,NortheastRegion,หน่วยผลิต นครราชสีมา1,Sat Sep 27 00:00:00 GMT+07:00 2025,EAKPOP.PEDKLOM@SIAMCITYCEMENT.COM,Mon Sep 27 00:00:00 GMT+07:00 2021,th,rmxplant
Active,,C329,URUWONG.CHANNARONG@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NortheastRegion,หน่วยผลิต นครราชสีมา2,Tue Dec 31 00:00:00 GMT+07:00 2024,EAKPOP.PEDKLOM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C348,URUWONG.CHANNARONG@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NortheastRegion,หน่วยผลิต สูงเนิน,Tue Dec 31 00:00:00 GMT+07:00 2024,EAKPOP.PEDKLOM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C383,URUWONG.CHANNARONG@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NortheastRegion,หน่วยผลิต นครราชสีมา3,Tue Dec 31 00:00:00 GMT+07:00 2024,EAKPOP.PEDKLOM@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
Active,,C323,CHATCHAPOL.OSATIDPORN@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,NorthRegion,หน่วยผลิต แม่ริม,Tue Dec 31 00:00:00 GMT+07:00 2024,NATTHAPHON.TUEJANTA@SIAMCITYCEMENT.COM,Thu Jan 01 00:00:00 GMT+07:00 2015,th,rmxplant
