driverName,details,area,id,holder,remark,yRegister,status,site,type,kind,email,bu,department,country
บปน.,KOMATSU,ผลิตถุง,SUPPORT-No.15,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
บปน.,TCM   40 Z7,ผลิตถุง,SUPPORT-No.16,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
บปน.,MITSUBISHI,ผลิตถุง,SUPPORT-No.20,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
เช่า,TOYOTA,ผลิตถุง,SUPPORT-No.33,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
เช่า,TOYOTA,ผลิตถุง,SUPPORT-15436,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
เช่า,HYUNDAI,ผลิตถุง,SUPPORT-H212,Packaging,คุณชัชวาลย์,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packaging,thailand
เช่า,Toyota,บรรจุ3,SUPPORT-No.13879,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
เช่า,Toyota,บรรจุ3,SUPPORT-No.13880,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
เช่า,Toyota,บรรจุ3,SUPPORT-No.13883,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
เช่า,Toyota,บรรจุ3,SUPPORT-No.13884,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
เช่า(Spare),Toyota,บรรจุ3,SUPPORT-No.13742,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
เช่า(Spare),Toyota,บรรจุ3,SUPPORT-No.13171,Packing & loading,คุณพีระ,27/5/2024,Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Packing & loading,thailand
บปน.,HELI - (RDF -FL -1),RDF,SUPPORT-RDF-No.1,RDF Quality Control,จิตติมา วรวงค์คุปต์,Tue Apr 09 2024 00:00:00 GMT+0700 (Indochina Time),Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,RDF Quality Control,thailand
บปน.,HELI (สีส้ม),พัสดุ,SUPPORT-WH-FL-1,Warehouse,ชัยพฤกษ์ เทียนกระจ่าง,Tue Apr 09 2024 00:00:00 GMT+0700 (Indochina Time),Active,support,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,Warehouse,thailand
บปน.,CAT 19 (สีเหลือง),พัสดุ,SUPPORT-WH-FL-2,Warehouse,ชัยพฤกษ์ เทียนกระจ่าง,Tue Apr 09 2024 00:00:00 GMT+0700 (Indochina Time),Active,support,forklift,โฟล์คลิฟท์ขนาด 5.0 ตัน,,th,Warehouse,thailand
,HONDA,Quarry Operation,QUARRY-1กฌ8777สบ,นาย ประวัตร์ พรหมเกษร,MLHJA1444H5993583,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Quarry Operation,QUARRY-1กง620สบ,นาย ศิรวัฒน์ วงษ์สกุล,RLCUE052111100843,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Quarry Operation,QUARRY-1กฉ8538สบ,นางสาว สุวรรณี ตนอดนอก,RLCUE052111119180,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Quarry Operation,QUARRY-1กฉ8539สบ,นาย เกียรติภูมิ เมืองตั๋น,RLCUE052111119239,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Quarry Operation,QUARRY-1กฌ8780สบ,นาย ภูมิศักดิ์ บุญวัฒน์,MLHJA144XH5993555,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Quarry Operation,QUARRY-1กช3763สบ,นาย สุรพงศ์ จงวุฒิเวศย์,MH3SE902111032055,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,YAMAHA,Quarry Operation,QUARRY-1กฉ8537สบ,นาย สมนึก โชติราศรี,RLCUE052111120288,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Quarry Operation,QUARRY-1กจ7898สบ,นาย สมชาย จันทะเอ,MLHJA211XE5282000,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
,HONDA,Quarry Operation,QUARRY-1กง3704สบ,นาย สมชาย เพิ่มพิพัฒน์,MLHJA2118E5272212,,Active,quarry,motorbike,รถมอเตอร์ไซต์,,th,,thailand
พิคิด ศิริบูรณ์,รถเฮี๊ยบ,Workshop,PLANT3-84-1225สบ,SCCC,,04.09.2024,Active,plant3,truck,รถเฮี๊ยบ,,th,Plant 3,thailand
นายชัยพงษ์,รถเฮี๊ยบ- ขนาด 50 ตัน (ปจ.2),ซ่อมไฟฟ้า,PLANT3-87-4110สบ,SCCC,,22.08.2024,Active,plant3,truck,รถเฮี๊ยบ,,th,Plant 3,thailand
นายชัยพงษ์,รถกระเช้า เคลื่อนที่ ขนาด < 1.0 ตัน,Workshop,PLANT3-WS3-Mobile-No1,SCCC,,22.08.2024,Active,plant3,truck,รถกระเช้า,,th,Plant 3,thailand
นายพิคิด ศิริบูรณ์,"6 ล้อติดเครน, HINO, 6 สูบ 212 แรงม้า",Workshop,PLANT3-84-1225สบ,SCCC,"1100 กระบะบรรทุก, สำหรับใช้งานขนส่ง Spare part งานส่วนซ่อม",,Active,plant3,truck,รถจดทะเบียนขนส่ง,,th,Plant 3,thailand
บรรทุกของเหลว,"รถน้ำ, NISSAN 6 สูบ 230 แรงม้า",Workshop,PLANT3-81-6909สบ,SCCC,"1400 บรรทุกวัตถุอันตราย, รดน้ำต้นไม้,ล้างถนน และ ล้าง EP.Coalmill",,Active,plant3,truck,รถจดทะเบียนขนส่ง,,th,Plant 3,thailand
บปน.,-,โรงซ่อม,QUARRY-QTCM12-FL-1,,คนอง ปัญญาเมา,04.09.2024,Active,quarry,forklift,โฟล์คลิฟท์ขนาด 7.0 ตัน,,th,SRB-Quarry,thailand
บปน.,-,โรงซ่อม,QUARRY-QCAT18-FL-2,,คนอง ปัญญาเมา,04.09.2024,Active,quarry,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,SRB-Quarry,thailand
,,,QUARRY-4444,,,,,quarry,forklift,โฟล์คลิฟท์ขนาด 3.0 ตัน,,th,,thailand
,YAMAHA,Plant 2,1กก34สบ,นาย เสน่ห์ คงอ่อน,RLCUE052111053505,,Active,plant2,motorbike,รถมอเตอร์ไซต์,,th,,thailand
