place,bu,status,hydrostaticTest,location,email,type,kind,area,registerDate,id,country,site
Shale ชั้นล่าง,th,Active,n-a,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),ไม่พบข้อมูล,PLANT3-CR3-D1-3-01No.1,thailand,plant3
Shale ชั้นล่าง,th,Active,2003,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),1998,PLANT3-CR3-D1-3-01No.2,thailand,plant3
Shale ชั้นล่าง,th,Active,2005,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2000,PLANT3-CR3-D1-3-01No.3,thailand,plant3
Shale ชั้นบน,th,Active,2008,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2003,PLANT3-CR3-D1-2-02No.1,thailand,plant3
Shale ชั้นบน,th,Active,2008,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2003,PLANT3-CR3-D1-2-02No.2,thailand,plant3
L/S K5 ชั้นล่าง,th,Active,2024,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2019,PLANT3-CR3-D1-3-03No.1,thailand,plant3
L/S K5 ชั้นล่าง,th,Active,n-a,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),ไม่พบข้อมูล,PLANT3-CR3-D1-3-03No.2,thailand,plant3
L/S K5 ชั้นล่าง,th,Active,n-a,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),ไม่พบข้อมูล,PLANT3-CR3-D1-3-03No.3,thailand,plant3
L/S K5 ชั้นบน,th,Active,2007,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2002,PLANT3-CR3-D1-2-04No.1,thailand,plant3
L/S K5 ชั้นบน,th,Active,2007,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2002,PLANT3-CR3-D1-2-04No.2,thailand,plant3
L/S K6 ชั้นล่าง,th,Active,n-a,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),ไม่พบข้อมูล,PLANT3-CR3-D1-3-05No.1,thailand,plant3
L/S K6 ชั้นล่าง,th,Active,2003,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),1998,PLANT3-CR3-D1-3-05No.2,thailand,plant3
L/S K6 ชั้นล่าง,th,Active,n-a,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),ไม่พบข้อมูล,PLANT3-CR3-D1-3-05No.3,thailand,plant3
L/S K6 ชั้นบน,th,Active,2007,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2002,PLANT3-CR3-D1-2-06No.1,thailand,plant3
L/S K6 ชั้นบน,th,Active,2007,-,Crusher(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Crusher),2002,PLANT3-CR3-D1-2-06No.2,thailand,plant3
ชั้น 1 ข้าง R1M01,th,Active,2022,-,Raw Mill(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Raw Mill),2017,PLANT3-RM3-D1-3-01No.1,thailand,plant3
ชั้น 1 ข้าง R1M01,th,Active,2022,-,Raw Mill(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Raw Mill),2017,PLANT3-RM3-D1-3-01No.2,thailand,plant3
ชั้น 1 ข้าง R1M01,th,Inactive,n-a,-,Raw Mill(N),extinguisher,Dry Chemical,เตรียมวัตถุดิบ (Raw Mill),ไม่มีถัง (สูญหาย),PLANT3-RM3-D1-3-01No.3,thailand,plant3
