place,department,kind,name,type,site,country,id,email,bu
Admin Huy IT,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-01,son.pham@siamcitycement.com,vn
Admin Huy IT,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-02,son.pham@siamcitycement.com,vn
Admin Huy IT,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-03,son.pham@siamcitycement.com,vn
Admin Huy IT,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-04,son.pham@siamcitycement.com,vn
Admin Huy IT,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-05,son.pham@siamcitycement.com,vn
Admin P A Thạnh,Electrical Maintenance,Quạt,,electrical,thiv,thailand,THIV-ADM-06,son.pham@siamcitycement.com,vn
Admin P A Thạnh,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-07,son.pham@siamcitycement.com,vn
Admin P A Thạnh,Electrical Maintenance,Dây sạc máy tính,,electrical,thiv,thailand,THIV-ADM-08,son.pham@siamcitycement.com,vn
Admin P A Thạnh,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-09,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-10,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-11,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy ép nhựa So Good,,electrical,thiv,thailand,THIV-ADM-12,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy nươc nóng,,electrical,thiv,thailand,THIV-ADM-13,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy in HP,,electrical,thiv,thailand,THIV-ADM-14,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-ADM-15,son.pham@siamcitycement.com,vn
Admin,Electrical Maintenance,Máy hủy giấy X220,,electrical,thiv,thailand,THIV-ADM-16,son.pham@siamcitycement.com,vn
Admin P trà,Electrical Maintenance,Tủ lạnh LG,,electrical,thiv,thailand,THIV-ADM-17,son.pham@siamcitycement.com,vn
Admin P trà,Electrical Maintenance,Lò vi sóng Electrolux,,electrical,thiv,thailand,THIV-ADM-18,son.pham@siamcitycement.com,vn
Admin P trà,Electrical Maintenance,Ấm đun nước nóng Shunhouse,,electrical,thiv,thailand,THIV-ADM-19,son.pham@siamcitycement.com,vn
Admin WC Nam,Electrical Maintenance,Máy sấy tay,,electrical,thiv,thailand,THIV-ADM-20,son.pham@siamcitycement.com,vn
Admin P A Thạnh,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-21,son.pham@siamcitycement.com,vn
Admin Dự án,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-22,son.pham@siamcitycement.com,vn
Admin Custumer,Electrical Maintenance,Dây nguồn socket,,electrical,thiv,thailand,THIV-ADM-23,son.pham@siamcitycement.com,vn
