place,esite,etype,area,location,id,email,site,bu,type
Manual foam for Hydrant,CAT LAI,Foam tank,ECOCYCLE,WH_01,CATL-CL_Foam_01,nghiem.vu@siamcitycement.com,catl,vn,foam
ECO WH 1+2,CAT LAI,Foam tank,ECOCYCLE,WH_01,CATL-CL_Foam_02,nghiem.vu@siamcitycement.com,catl,vn,foam
ECO WH 1_Canopy,CAT LAI,Foam tank,ECOCYCLE,WH_01,CATL-CL_Foam_03,nghiem.vu@siamcitycement.com,catl,vn,foam
"Trạm PCCC
Fire fighting station",CATL,Water Pump,HS,,CATL-FFP-01,thinh.tran@siamcitycement.com,catl,vn,pump
"Trạm PCCC
Fire fighting station",CATL,Water Pump,HS,,CATL-FFP-02,thinh.tran@siamcitycement.com,catl,vn,pump
Cổng bảo vệ (Main gate),Cat Lai,Fire Hydrant,H&S,Cổng bảo vệ (Main gate),CATL-FHC001,thuan.luu@siamcitycement.com,catl,vn,hydrant
Trạm bơm (Barrier _ near Sling WH),Cat Lai,Fire Hydrant,H&S,Trạm bơm (Barrier _ near Sling WH),CATL-FHC002,thuan.luu@siamcitycement.com,catl,vn,hydrant
"Locker, y tế (canteen)",Cat Lai,Fire Hydrant,H&S,"Locker, y tế (canteen)",CATL-FHC003,thuan.luu@siamcitycement.com,catl,vn,hydrant
Admin,Cat Lai,Fire Hydrant,H&S,Admin,CATL-FHC004,thuan.luu@siamcitycement.com,catl,vn,hydrant
Lab & QA,Cat Lai,Fire Hydrant,H&S,Lab & QA,CATL-FHC005,thuan.luu@siamcitycement.com,catl,vn,hydrant
Line 6,Cat Lai,Fire Hydrant,SCN,Line 6,CATL-FHC006,tri.le@siamcitycement.com,catl,vn,hydrant
Giao xá (Bulk line _ Silo),Cat Lai,Fire Hydrant,H&S,Giao xá (Bulk line _ Silo),CATL-FHC007,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho dầu HFO,Cat Lai,Fire Hydrant,H&S,Kho dầu HFO,CATL-FHC008,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho ECO 1 (Eco WH 01) _ 01,Cat Lai,Fire Hydrant,ECO,Kho ECO 1 (Eco WH 01) _ 01,CATL-FHC009,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Kho ECO 1 (Eco WH 01) _ 02 (near fence),Cat Lai,Fire Hydrant,H&S,Kho ECO 1 (Eco WH 01) _ 02 (near fence),CATL-FHC010,thuan.luu@siamcitycement.com,catl,vn,hydrant
Kho ECO 2_01 (ECO WH 02_01),Cat Lai,Fire Hydrant,ECO,Kho ECO 2_01 (ECO WH 02_01),CATL-FHC011,nghiem.vu@siamcitycement.com,catl,vn,hydrant
Kho ECO 2_02 (ECO WH 02_02),Cat Lai,Fire Hydrant,ECO,Kho ECO 2_02 (ECO WH 02_02),CATL-FHC012,nghiem.vu@siamcitycement.com,catl,vn,hydrant
